question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory,language,is_valid,quality_notes,question_structure,difficulty,difficulty_rationale
38,Inflammatory,moderate,diagnosis,False,Erythema Nodosum,Erythema Nodosum,Vascular & Urticarial,english,True,,vignette,easy,"Classic erythema nodosum presentation in a child following recent pharyngitis, with throat culture as the straightforward next step to evaluate streptococcal trigger."
39,Other,common,mechanism,False,General,General,Unclassified,english,True,,short_stem,easy,"A delayed 48-hour indurated skin reaction to Candida is a classic delayed-type (Type IV) hypersensitivity mediated by CD4+ T cells, a core immunology concept familiar to general dermatologists."
41,Infectious,moderate,mechanism,False,Hot Tub Folliculitis,Hot Tub Folliculitis,Bacterial,english,True,,vignette,easy,"Identifying Pseudomonas aeruginosa from hot-tub folliculitis based on non-lactose fermenting, oxidase-positive gram-negative rods and associating it with blue-green pigment is core, classic dermatology/infectious disease knowledge."
43,Inflammatory,moderate,diagnosis,False,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune,english,True,,vignette,easy,"The malar rash sparing nasolabial folds and oral ulcers strongly indicate systemic lupus erythematosus, for which lymphopenia is a classic and commonly recalled hematologic abnormality."
40,Neoplastic,common,mechanism,False,Melanoma,Melanoma,Malignant,english,True,,vignette,easy,Recognizing aldesleukin (IL-2) as an immunotherapy for metastatic melanoma that activates NK cells and cytotoxic T cells is core pharmacology commonly known to general dermatologists.
44,Inflammatory,moderate,diagnosis,False,Acute Interstitial Nephritis,Acute Interstitial Nephritis,Autoimmune,english,True,,vignette,medium,Identifying drug-induced acute interstitial nephritis from NSAID use with eosinophilia and WBC casts and linking it to the classic triad including a diffuse maculopapular rash requires solid training and pattern recognition beyond basic dermatology.
42,Genetic Rare,rare,diagnosis,False,Chronic Granulomatous Disease,Chronic Granulomatous Disease,Metabolic-Genetic,english,True,,vignette,medium,"Identifying chronic granulomatous disease based on recurrent skin abscesses with pus, lymphadenopathy, and recurrent infections requires immunology knowledge and distinguishing it from other pediatric immunodeficiencies and atopic dermatitis."
47,Infectious,rare,diagnosis,False,Lymphogranuloma Venereum,Lymphogranuloma Venereum,Bacterial,english,True,,vignette,easy,"Classic presentation of lymphogranuloma venereum after a transient painless genital ulcer followed by painful unilateral inguinal lymphadenopathy, with diagnosis by Chlamydia trachomatis testing—a core STI-derm association familiar to general dermatologists."
45,Infectious,rare,diagnosis,False,Chancroid,Chancroid,Bacterial,english,True,,vignette,easy,"Classic presentation of a painful, purulent genital ulcer with painful inguinal lymphadenopathy points to chancroid (Haemophilus ducreyi), a core STD differentiation from HSV and syphilis that general dermatologists routinely know."
48,Metabolic Systemic,moderate,diagnosis,False,Porphyria Cutanea Tarda,Porphyria Cutanea Tarda,Systemic Disease Manifestations,english,True,,vignette,easy,"Classic photodistributed fragile blisters with hypertrichosis suggest porphyria cutanea tarda, confirmed by elevated urine porphyrins—core knowledge for general dermatologists."
46,Neoplastic,common,diagnosis,True,Seborrheic Keratosis,Seborrheic Keratosis,Benign,english,True,,short_stem,easy,"Classic description of seborrheic keratoses as brown, greasy, “stuck-on” lesions in an elderly patient is core dermatology knowledge."
51,Inflammatory,common,mechanism,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,Eczematous,english,True,,vignette,easy,Identifying nickel-induced allergic contact dermatitis from earrings as a type IV delayed hypersensitivity reaction is core dermatology knowledge.
50,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,"Classic presentation of bullous pemphigoid in an elderly patient with tense, non-fragile bullae and linear IgG/C3 at the basement membrane—core knowledge for general dermatologists."
49,Infectious,moderate,mechanism,False,Hot Tub Folliculitis,Hot Tub Folliculitis,Bacterial,english,True,,vignette,easy,"Classic hot-tub folliculitis from Pseudomonas after whirlpool exposure presents with pustular rash on trunk/thighs arising from hair follicles, a core dermatology concept."
52,Infectious,common,treatment,False,Condyloma Acuminata,Condylomata Acuminata,Viral,english,True,,vignette,easy,Identifying genital warts from acetic acid whitening and exophytic papules and knowing HPV vaccination prevents them is standard core knowledge for general dermatologists.
53,Inflammatory,moderate,mechanism,False,Phototoxic Drug Reaction,Phototoxic Drug Reaction,Eczematous,english,True,,vignette,easy,Identifying a phototoxic drug reaction from tetracycline-class medication (demeclocycline) after brief sun exposure is core dermatology knowledge involving classic presentation and mechanism of direct cell injury by reactive drug metabolites.
55,Inflammatory,moderate,diagnosis,False,Psoriatic Arthritis,Psoriatic Arthritis,Autoimmune,english,True,,vignette,easy,"Classic presentation of psoriatic arthritis with DIP involvement, nail pitting, psoriatic plaques on elbows, and family history—core knowledge for general dermatology."
54,Metabolic Systemic,common,diagnosis,False,Hypothyroidism,Hypothyroidism,Endocrine-Associated,english,True,,vignette,easy,Identifying elevated TSH as the most helpful diagnostic finding for primary hypothyroidism with classic symptoms is core endocrinology-dermatology knowledge any general dermatologist would recall.
56,Genetic Rare,moderate,diagnosis,False,Congenital Adrenal Hyperplasia (Non-Classical),Congenital Adrenal Hyperplasia,Metabolic-Genetic,english,True,,vignette,medium,"Requires distinguishing PCOS from nonclassic congenital adrenal hyperplasia using specific hormone patterns (elevated 17-hydroxyprogesterone with mild hyperandrogenism), which goes beyond basic knowledge into nuanced endocrinologic reasoning."
57,Infectious,moderate,diagnosis,False,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,english,True,,vignette,easy,"Classic neonatal presentation with fever, diffuse erythema, flaccid bullae, positive Nikolsky sign, and mucosal sparing points straightforwardly to staphylococcal scalded skin syndrome."
58,Inflammatory,moderate,diagnosis,True,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,english,True,,vignette,easy,"Classic postmenopausal presentation of lichen sclerosus with pruritus, porcelain-white atrophic plaques, labia minora loss, clitoral phimosis, and perianal involvement is well-known to general dermatologists."
60,Inflammatory,moderate,diagnosis,False,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune,english,True,,vignette,easy,"Classic SLE presentation with malar rash sparing nasolabial folds, photosensitivity, oral ulcers, and small-joint arthritis, pointing to lupus nephritis (proliferative GN) as the likely additional finding is core knowledge for general dermatologists."
61,Infectious,moderate,treatment,False,Pilonidal Cyst,Pilonidal Cyst,Bacterial,english,True,,vignette,easy,"Classic pilonidal abscess presentation with fever and tender, erythematous swelling over the natal cleft where first-line management is incision and drainage, a core management point for general dermatologists."
59,Inflammatory,common,mechanism,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,medium,Identifying that the acne treatment requiring contraception is isotretinoin and recognizing its structural similarity to all-trans retinoic acid used for acute promyelocytic leukemia requires specific pharmacologic recall beyond basic dermatology knowledge.
62,Inflammatory,common,treatment,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,easy,"Identifying topical benzoyl peroxide as first-line therapy for comedonal, mild acne is core dermatology knowledge."
64,Inflammatory,moderate,diagnosis,True,Dermatomyositis,Dermatomyositis,Autoimmune,english,True,,vignette,medium,"Recognizing Gottron papules with proximal muscle weakness as dermatomyositis and recalling that anti–histidyl tRNA synthetase (anti–Jo-1) is a myositis-specific antibody requires solid training beyond basic dermatology, distinguishing it from other autoantibodies tied to drug-induced lupus, primary biliary cholangitis, or statin myopathy."
66,Inflammatory,moderate,mechanism,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,"Classic presentation of bullous pemphigoid (tense bullae, negative Nikolsky sign, no mucosal involvement) with antibodies to hemidesmosomes is core dermatology knowledge."
65,Inflammatory,rare,mechanism,True,Warfarin-Induced Skin Necrosis,Warfarin-Induced Skin Necrosis,Vascular & Urticarial,english,True,,vignette,easy,"This tests the classic association of warfarin-induced skin necrosis with protein C deficiency, a well-known core concept for general dermatologists."
67,Metabolic Systemic,moderate,mechanism,True,Spider Angioma,Spider Angioma,Systemic Disease Manifestations,english,True,,vignette,easy,Recognizing spider angiomas in chronic liver disease and attributing them to estrogen excess (hormonal imbalance) is core dermatology knowledge commonly recalled by general dermatologists.
69,Inflammatory,common,diagnosis,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,Eczematous,english,True,,vignette,easy,Identifying allergic contact dermatitis from new gloves and selecting patch testing as the next step is core dermatology knowledge for evaluating hand dermatitis.
63,Infectious,moderate,treatment,True,Lyme Disease,Lyme Disease,Bacterial,english,True,,vignette,medium,Identifying early localized Lyme disease with erythema migrans in a child and selecting age-appropriate first-line therapy (amoxicillin rather than doxycycline or macrolides/penicillins) requires solid training and regional epidemiology knowledge beyond basic dermatology.
70,Neoplastic,common,diagnosis,True,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant,english,True,,vignette,easy,"Classic description of basal cell carcinoma with pearly papule, rolled borders, and telangiectasias on sun-exposed eyelid in a fair-skinned older man is core dermatology knowledge."
68,Inflammatory,moderate,diagnosis,False,Celiac Disease,Celiac Disease,Autoimmune,english,True,,vignette,easy,Recognizing dermatitis herpetiformis with GI symptoms suggestive of celiac disease and confirming with anti-tTG/gliadin antibodies is core dermatology knowledge.
71,Hair Nail,moderate,diagnosis,False,Alopecia Areata,Alopecia Areata,Hair Loss,english,True,,vignette,easy,"Classic presentation of alopecia areata with smooth non-scarring patches and positive hair pull test, easily distinguished from syphilis, tinea capitis, and trichotillomania by a general dermatologist."
72,Neoplastic,common,diagnosis,True,Malignant Melanoma,Melanoma,Malignant,english,True,,vignette,medium,"Identifying subungual melanoma versus more common mimickers like traumatic hemorrhage or onychomycosis requires nuanced recognition of nail apparatus melanoma features (eg, longitudinal melanonychia with periungual spread) beyond basic dermatology knowledge."
73,Inflammatory,common,treatment,True,Allergic Contact Dermatitis (Poison Ivy),Allergic Contact Dermatitis,Eczematous,english,True,,vignette,easy,Classic allergic contact dermatitis from poison ivy with linear vesicles after hiking is routinely treated with high-potency topical corticosteroids like clobetasol for localized disease.
74,Inflammatory,common,treatment,False,Sunburn,Sunburn,Eczematous,english,True,,vignette,easy,"Recognizing uncomplicated first-degree/superficial sunburn after sun exposure and treating with supportive care (cooling, emollients like aloe, not antibiotics or aggressive fluids) is core dermatology knowledge."
75,Infectious,common,treatment,True,Impetigo,Impetigo,Bacterial,english,True,,vignette,easy,Identifying impetigo in a healthy child and choosing topical mupirocin as first-line therapy is core pediatric dermatology knowledge for general dermatologists.
76,Infectious,rare,diagnosis,False,Chromoblastomycosis,Chromoblastomycosis,Fungal,english,True,,vignette,easy,"Classic presentation of chromoblastomycosis with cauliflower-like verrucous plaques in a barefoot tropical farmer and KOH showing sclerotic (Medlar) bodies, a hallmark most dermatologists readily recognize."
78,Infectious,moderate,diagnosis,True,Syphilis,Syphilis,Bacterial,english,True,,vignette,easy,"Classic painless penile chancre with bilateral nontender inguinal lymphadenopathy indicates primary syphilis due to Treponema pallidum, a core diagnosis for general dermatologists."
80,Neoplastic,common,diagnosis,True,Squamous Cell Carcinoma,Squamous Cell Carcinoma,Malignant,english,True,,vignette,easy,"Classic presentation of lower-lip squamous cell carcinoma in an older male with sun and tobacco exposure and a nonhealing ulcer with everted, friable edges, which any general dermatologist should recognize."
77,Infectious,common,mechanism,False,Impetigo,Impetigo,Bacterial,english,True,,vignette,easy,"Identifying Staphylococcus aureus in impetigo and recalling Protein A as the IgG Fc-binding antiphagocytic factor is core, well-known dermatology and microbiology knowledge."
81,Infectious,rare,diagnosis,False,Ecthyma Gangrenosum,Ecthyma Gangrenosum,Bacterial,english,True,,vignette,easy,"Classic ecthyma gangrenosum in a febrile, neutropenic patient on chemotherapy with necrotic ulcers and violaceous margins strongly points to Pseudomonas aeruginosa, a well-known core association."
83,Pigmentation,moderate,diagnosis,False,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,english,True,,vignette,easy,"Recognizing sudden-onset acanthosis nigricans as a paraneoplastic sign of gastric adenocarcinoma is core dermatology knowledge, contrasted with the more common obesity/diabetes-associated form."
84,Infectious,common,diagnosis,False,Tinea Capitis,Tinea Capitis,Fungal,english,True,,vignette,easy,"Classic presentation of tinea capitis in a child with patchy alopecia, black dots, posterior cervical/occipital lymphadenopathy, and scalp scaling—core knowledge for general dermatologists."
79,Infectious,common,diagnosis,True,Molluscum Contagiosum,Molluscum Contagiosum,Viral,english,True,,vignette,easy,"Recognizing contagious, umbilicated papules in young children as molluscum contagiosum due to poxvirus is core dermatology knowledge."
85,Neoplastic,common,diagnosis,True,Actinic Keratosis,Actinic Keratosis,Premalignant,english,True,,vignette,easy,"Classic presentation of recurrent, rough, scaly lesions on sun-exposed dorsal hands in an older outdoor worker strongly indicates actinic keratosis, a core diagnosis for general dermatologists."
86,Neoplastic,rare,diagnosis,False,Penile Squamous Cell Carcinoma,Penile Squamous Cell Carcinoma,Malignant,english,True,,vignette,easy,"Identifying a chronic, painless, ulcerated penile lesion in a high-risk patient as squamous cell carcinoma in situ/invasive SCC and recognizing atypical squamous cells with mitoses on biopsy reflects core dermatologic-oncologic knowledge with classic risk factors and presentation."
82,Inflammatory,moderate,mechanism,False,Isoniazid-Induced Drug Reaction (Slow Acetylator Phenotype),Isoniazid-Induced Drug Reaction,Eczematous,english,True,,vignette,medium,Recognizing isoniazid-induced drug reaction from slow acetylators (N-acetyltransferase deficiency) requires specific pharmacogenetic knowledge beyond basic dermatology.
87,Inflammatory,common,epidemiology,True,Atopic Dermatitis,Atopic Dermatitis,Eczematous,english,True,,vignette,easy,"Classic pediatric atopic dermatitis in flexural areas is strongly associated with atopy, including asthma characterized by a reversible decrease in FEV1/FVC."
89,Genetic Rare,moderate,treatment,False,Neurofibromatosis Type 1,Neurofibromatosis Type 1,Syndromic,english,True,,vignette,medium,"Recognizing neurofibromatosis type 1 from café-au-lait macules, neurofibromas, and Lisch nodules and knowing to screen for optic pathway glioma with brain/orbit MRI requires solid training beyond basic dermatology, though still common enough for general dermatologists."
90,Infectious,moderate,diagnosis,True,Bedbug Infestation,Bedbug Bite,Parasitic & Other,english,True,,vignette,easy,"Clustered pruritic rash with nocturnal itch and multiple affected residents in a nursing home sparing groin suggests bed bug bites (Cimex lectularius), a classic presentation familiar to general dermatologists."
88,Infectious,moderate,diagnosis,True,Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever,Bacterial,english,True,,vignette,easy,"Classic presentation of Rocky Mountain spotted fever with fever followed by a rash starting on wrists/ankles and spreading to trunk including palms/soles, a hallmark pattern well-known to general dermatologists."
91,Infectious,moderate,diagnosis,False,Syphilis,Syphilis,Bacterial,english,True,,vignette,easy,"Recognizing a painless chancre with nontender lymphadenopathy as primary syphilis and confirming with dark-field microscopy is core, classic knowledge for general dermatology."
92,Infectious,common,diagnosis,False,Roseola,Roseola Infantum,Viral,english,True,,vignette,easy,Classic roseola presentation with high fever in an infant followed by a maculopapular rash after defervescence is core pediatric dermatology knowledge.
93,Inflammatory,common,mechanism,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,Eczematous,english,True,,vignette,easy,Classic allergic contact dermatitis from poison ivy after outdoor exposure presents with pruritic papules/vesicles and is mediated by type IV hypersensitivity with T-cell–mediated cytotoxicity.
94,Pigmentation,common,diagnosis,True,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,english,True,,vignette,easy,Recognizing acanthosis nigricans in an obese young woman and linking it to insulin resistance and PCOS is core dermatology knowledge.
96,Neoplastic,moderate,diagnosis,True,Kaposi Sarcoma,Kaposi Sarcoma,Vascular Tumours,english,True,,vignette,easy,Classic Kaposi sarcoma presentation in an HIV patient with spindle cells on biopsy pointing to HHV-8 is core dermatology knowledge.
95,Infectious,common,diagnosis,True,"Hand, Foot, And Mouth Disease","Hand, Foot, and Mouth Disease",Viral,english,True,,vignette,easy,"Classic hand-foot-and-mouth disease presentation with oral vesicles and rash on hands/feet in a child points to Coxsackie A virus, a core pediatric dermatology diagnosis."
97,Infectious,common,diagnosis,False,Candidiasis,Candidiasis,Fungal,english,True,,vignette,easy,"Identifying intertrigo due to Candida in obese skin folds with pruritic, erythematous, macerated rash is classic core knowledge and distinguishing it from Pseudomonas, Cryptococcus, or mycobacteria is straightforward for a general dermatologist."
98,Infectious,common,diagnosis,False,Erythema Infectiosum,Erythema Infectiosum,Viral,english,True,,vignette,easy,"Classic slapped-cheek and lacy reticular rash of erythema infectiosum is hallmark for Parvovirus B19, a core pediatric exanthem recognition for general dermatologists."
99,Genetic Rare,rare,diagnosis,True,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex,Syndromic,english,True,,vignette,easy,"Classic tuberous sclerosis complex presentation (facial angiofibromas, hypomelanotic macules, enamel pits, seizures/developmental delay) directly points to TSC gene mutations."
101,Inflammatory,moderate,prognosis,True,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,english,True,,vignette,medium,Recognizing lichen sclerosus from clinical and histologic clues and linking it specifically to increased risk of differentiated vulvar SCC (rather than HPV-related HSIL/LSIL or BCC) requires solid dermatology training and nuanced knowledge of vulvar oncology associations.
100,Inflammatory,common,diagnosis,False,Psoriasis,Psoriasis Vulgaris,Papulosquamous,english,True,,short_stem,easy,"Classic plaque psoriasis presentation with extensor involvement, dactylitis, and RF-negative arthritis makes ‘silver, scaly’ straightforward for any general dermatologist."
102,Genetic Rare,rare,diagnosis,False,Wiskott-Aldrich Syndrome,Wiskott-Aldrich Syndrome,Syndromic,english,True,,vignette,medium,"Recognizing Wiskott-Aldrich syndrome from the triad of eczema, recurrent infections, and thrombocytopenia with petechiae requires pediatric immunodeficiency knowledge beyond routine dermatology, though the eczematous and petechial clues are clinically familiar."
103,Pigmentation,moderate,diagnosis,True,Vitiligo,Vitiligo,Hypopigmentation,english,True,,vignette,easy,Recognizing vitiligo from depigmented macules with Wood’s lamp accentuation and association with autoimmune thyroid disease is core dermatology knowledge distinguishing it from hypopigmented/infectious mimickers.
104,Metabolic Systemic,rare,diagnosis,False,Phenylketonuria,Phenylketonuria,Nutritional,english,True,,vignette,easy,"Classic PKU vignette (intellectual disability, fair skin/blue eyes, eczema, myoclonic jerks) pointing to phenylalanine hydroxylase deficiency is core dermatology-pediatrics knowledge."
