pid,group,case_index,question_id,source_position,document_id,rating,supports_llm,llm_answer,correct_choice,llm_is_correct
p03,1,3,554,1,3,Supports,True,A,A,True
p03,1,3,554,2,5,Supports,True,A,A,True
p03,1,3,554,3,9,Supports,True,A,A,True
p03,1,4,83,1,2,Supports,True,A,A,True
p03,1,4,83,2,5,Does not support,False,A,A,True
p03,1,4,83,3,7,Supports,True,A,A,True
p03,1,4,83,4,9,Supports,True,A,A,True
p03,1,5,59,1,2,Supports,True,B,B,True
p03,1,5,59,2,7,Supports,True,B,B,True
p03,1,6,9946,1,10,Supports,True,C,C,True
p03,1,7,8111,1,3,Supports,True,A,C,False
p03,1,7,8111,2,8,Supports,True,A,C,False
p03,1,8,6933,1,5,Supports,True,B,B,True
p03,1,9,3376,1,1,Supports,True,C,C,True
p03,1,9,3376,2,3,Supports,True,C,C,True
p03,1,10,2518,1,1,Supports,True,D,D,True
p03,1,10,2518,2,5,Supports,True,D,D,True
p03,1,10,2518,3,6,Supports,True,D,D,True
p03,1,11,3245,1,1,Supports,True,C,C,True
p03,1,11,3245,2,6,Supports,True,C,C,True
p03,1,12,2068,1,6,Supports,True,A,A,True
p03,1,13,463,1,1,Supports,True,C,C,True
p03,1,13,463,2,4,Supports,True,C,C,True
p03,1,14,260,1,2,Supports,True,C,D,False
p03,1,15,586,1,1,Supports,True,D,D,True
p03,1,15,586,2,2,Supports,True,D,D,True
p03,1,15,586,3,4,Supports,True,D,D,True
p03,1,15,586,4,6,Supports,True,D,D,True
p03,1,16,302,1,7,Does not support,False,C,C,True
p03,1,16,302,2,6,Supports,True,C,C,True
p01,1,1,1254,1,1,Does not support,False,C,C,True
p01,1,1,1254,2,2,Does not support,False,C,C,True
p01,1,1,1254,3,7,Supports,True,C,C,True
p01,1,2,4915,1,1,Supports,True,B,B,True
p01,1,3,554,1,3,Supports,True,A,A,True
p01,1,3,554,2,5,Does not support,False,A,A,True
p01,1,3,554,3,9,Does not support,False,A,A,True
p01,1,4,83,1,2,Supports,True,A,A,True
p01,1,4,83,2,5,Does not support,False,A,A,True
p01,1,4,83,3,7,Supports,True,A,A,True
p01,1,4,83,4,9,Supports,True,A,A,True
p01,1,5,59,1,2,Supports,True,B,B,True
p01,1,5,59,2,7,Does not support,False,B,B,True
p01,1,6,9946,1,10,Does not support,False,C,C,True
p01,1,7,8111,1,3,Supports,True,A,C,False
p01,1,7,8111,2,8,Supports,True,A,C,False
p01,1,8,6933,1,5,Supports,True,B,B,True
p01,1,9,3376,1,1,Supports,True,C,C,True
p01,1,9,3376,2,3,Supports,True,C,C,True
p01,1,10,2518,1,1,Supports,True,D,D,True
p01,1,10,2518,2,5,Supports,True,D,D,True
p01,1,10,2518,3,6,Supports,True,D,D,True
p01,1,11,3245,1,1,Supports,True,C,C,True
p01,1,11,3245,2,6,Does not support,False,C,C,True
p01,1,12,2068,1,6,Supports,True,A,A,True
p01,1,13,463,1,1,Supports,True,C,C,True
p01,1,13,463,2,4,Does not support,False,C,C,True
p01,1,14,260,1,2,Does not support,False,C,D,False
p01,1,15,586,1,1,Supports,True,D,D,True
p01,1,15,586,2,2,Supports,True,D,D,True
p01,1,15,586,3,4,Supports,True,D,D,True
p01,1,15,586,4,6,Supports,True,D,D,True
p01,1,16,302,1,7,Supports,True,C,C,True
p01,1,16,302,2,6,Does not support,False,C,C,True
p05,2,1,4129,1,1,Supports,True,B,B,True
p05,2,1,4129,2,2,Supports,True,B,B,True
p05,2,1,4129,3,5,Does not support,False,B,B,True
p05,2,2,1275,1,1,Supports,True,A,A,True
p05,2,2,1275,2,3,Supports,True,A,A,True
p05,2,2,1275,3,5,Does not support,False,A,A,True
p05,2,2,1275,4,6,Does not support,False,A,A,True
p05,2,2,1275,5,7,Supports,True,A,A,True
p05,2,3,506,1,1,Supports,True,C,C,True
p05,2,3,506,2,3,Supports,True,C,C,True
p05,2,3,506,3,5,Supports,True,C,C,True
p05,2,4,1144,1,1,Supports,True,C,C,True
p05,2,4,1144,2,4,Does not support,False,C,C,True
p05,2,4,1144,3,5,Supports,True,C,C,True
p05,2,5,122,1,4,Supports,True,D,D,True
p05,2,5,122,2,8,Does not support,False,D,D,True
p05,2,5,122,3,9,Does not support,False,D,D,True
p05,2,6,430,1,1,Does not support,False,D,D,True
p05,2,6,430,2,2,Does not support,False,D,D,True
p05,2,6,430,3,3,Does not support,False,D,D,True
p05,2,6,430,4,4,Supports,True,D,D,True
p05,2,7,204,1,2,Supports,True,D,D,True
p05,2,7,204,2,6,Supports,True,D,D,True
p05,2,7,204,3,9,Supports,True,D,D,True
p05,2,7,204,4,10,Supports,True,D,D,True
p05,2,8,2110,1,1,Supports,True,A,A,True
p05,2,8,2110,2,2,Supports,True,A,A,True
p05,2,9,8524,1,2,Supports,True,C,C,True
p05,2,9,8524,2,3,Supports,True,C,C,True
p05,2,9,8524,3,1,Supports,True,C,C,True
p05,2,10,6968,1,2,Supports,True,D,D,True
p05,2,11,239,1,7,Supports,True,C,C,True
p05,2,11,239,2,10,Supports,True,C,C,True
p05,2,12,499,1,7,Supports,True,C,C,True
p05,2,12,499,2,2,Supports,True,C,C,True
p05,2,13,685,1,5,Supports,True,F,F,True
p05,2,14,3776,1,1,Supports,True,D,A,False
p05,2,15,1316,1,4,Supports,True,C,C,True
p05,2,15,1316,2,10,Supports,True,C,C,True
p05,2,16,9028,1,1,Does not support,False,C,D,False
p05,2,16,9028,2,3,Supports,True,C,D,False
p05,2,16,9028,3,7,Supports,True,C,D,False
p04,2,1,4129,1,1,Does not support,False,B,B,True
p04,2,1,4129,2,2,Supports,True,B,B,True
p04,2,1,4129,3,5,Supports,True,B,B,True
p04,2,2,1275,1,1,Supports,True,A,A,True
p04,2,2,1275,2,3,Supports,True,A,A,True
p04,2,2,1275,3,5,Supports,True,A,A,True
p04,2,2,1275,4,6,Does not support,False,A,A,True
p04,2,2,1275,5,7,Supports,True,A,A,True
p04,2,3,506,1,1,Does not support,False,C,C,True
p04,2,3,506,2,3,Supports,True,C,C,True
p04,2,3,506,3,5,Supports,True,C,C,True
p04,2,4,1144,1,1,Supports,True,C,C,True
p04,2,4,1144,2,4,Supports,True,C,C,True
p04,2,4,1144,3,5,Does not support,False,C,C,True
p04,2,5,122,1,4,Supports,True,D,D,True
p04,2,5,122,2,8,Does not support,False,D,D,True
p04,2,5,122,3,9,Supports,True,D,D,True
p04,2,6,430,1,1,Does not support,False,D,D,True
p04,2,6,430,2,2,Supports,True,D,D,True
p04,2,6,430,3,3,Supports,True,D,D,True
p04,2,6,430,4,4,Supports,True,D,D,True
p04,2,7,204,1,2,Supports,True,D,D,True
p04,2,7,204,2,6,Supports,True,D,D,True
p04,2,7,204,3,9,Supports,True,D,D,True
p04,2,7,204,4,10,Supports,True,D,D,True
p04,2,8,2110,1,1,Supports,True,A,A,True
p04,2,8,2110,2,2,Supports,True,A,A,True
p04,2,9,8524,1,2,Supports,True,C,C,True
p04,2,9,8524,2,3,Supports,True,C,C,True
p04,2,9,8524,3,1,Supports,True,C,C,True
p04,2,10,6968,1,2,Does not support,False,D,D,True
p04,2,11,239,1,7,Supports,True,C,C,True
p04,2,11,239,2,10,Supports,True,C,C,True
p04,2,12,499,1,7,Supports,True,C,C,True
p04,2,12,499,2,2,Supports,True,C,C,True
p04,2,13,685,1,5,Supports,True,F,F,True
p04,2,14,3776,1,1,Supports,True,D,A,False
p04,2,15,1316,1,4,Supports,True,C,C,True
p04,2,15,1316,2,10,Supports,True,C,C,True
p04,2,16,9028,1,1,Does not support,False,C,D,False
p04,2,16,9028,2,3,Supports,True,C,D,False
p04,2,16,9028,3,7,Supports,True,C,D,False
p06,2,1,4129,1,1,Supports,True,B,B,True
p06,2,1,4129,2,2,Supports,True,B,B,True
p06,2,1,4129,3,5,Supports,True,B,B,True
p06,2,2,1275,1,1,Supports,True,A,A,True
p06,2,2,1275,2,3,Supports,True,A,A,True
p06,2,2,1275,3,5,Supports,True,A,A,True
p06,2,2,1275,4,6,Does not support,False,A,A,True
p06,2,2,1275,5,7,Supports,True,A,A,True
p06,2,3,506,1,1,Supports,True,C,C,True
p06,2,3,506,2,3,Supports,True,C,C,True
p06,2,3,506,3,5,Supports,True,C,C,True
p06,2,4,1144,1,1,Supports,True,C,C,True
p06,2,4,1144,2,4,Supports,True,C,C,True
p06,2,4,1144,3,5,Supports,True,C,C,True
p06,2,5,122,1,4,Supports,True,D,D,True
p06,2,5,122,2,8,Does not support,False,D,D,True
p06,2,5,122,3,9,Supports,True,D,D,True
p06,2,6,430,1,1,Supports,True,D,D,True
p06,2,6,430,2,2,Does not support,False,D,D,True
p06,2,6,430,3,3,Supports,True,D,D,True
p06,2,6,430,4,4,Supports,True,D,D,True
p06,2,7,204,1,2,Supports,True,D,D,True
p06,2,7,204,2,6,Supports,True,D,D,True
p06,2,7,204,3,9,Supports,True,D,D,True
p06,2,7,204,4,10,Supports,True,D,D,True
p06,2,8,2110,1,1,Supports,True,A,A,True
p06,2,8,2110,2,2,Supports,True,A,A,True
p06,2,9,8524,1,2,Does not support,False,C,C,True
p06,2,9,8524,2,3,Does not support,False,C,C,True
p06,2,9,8524,3,1,Supports,True,C,C,True
p06,2,10,6968,1,2,Supports,True,D,D,True
p06,2,11,239,1,7,Supports,True,C,C,True
p06,2,11,239,2,10,Supports,True,C,C,True
p06,2,12,499,1,7,Supports,True,C,C,True
p06,2,12,499,2,2,Supports,True,C,C,True
p06,2,13,685,1,5,Supports,True,F,F,True
p06,2,14,3776,1,1,Supports,True,D,A,False
p06,2,15,1316,1,4,Does not support,False,C,C,True
p06,2,15,1316,2,10,Does not support,False,C,C,True
p06,2,16,9028,1,1,Does not support,False,C,D,False
p06,2,16,9028,2,3,Supports,True,C,D,False
p06,2,16,9028,3,7,Supports,True,C,D,False
p09,3,1,9554,1,1,Supports,True,B,B,True
p09,3,1,9554,2,3,Does not support,False,B,B,True
p09,3,2,831,1,5,Supports,True,B,B,True
p09,3,2,831,2,8,Does not support,False,B,B,True
p09,3,3,203,1,4,Does not support,False,C,C,True
p09,3,4,845,1,4,Supports,True,C,C,True
p09,3,4,845,2,9,Supports,True,C,C,True
p09,3,5,1015,1,2,Does not support,False,A,A,True
p09,3,5,1015,2,6,Does not support,False,A,A,True
p09,3,5,1015,3,7,Does not support,False,A,A,True
p09,3,6,2897,1,1,Does not support,False,B,B,True
p09,3,6,2897,2,2,Supports,True,B,B,True
p09,3,7,1499,1,4,Supports,True,A,A,True
p09,3,8,400,1,3,Does not support,False,A,D,False
p09,3,9,6176,1,4,Does not support,False,A,A,True
p09,3,9,6176,2,9,Does not support,False,A,A,True
p09,3,9,6176,3,10,Supports,True,A,A,True
p09,3,10,1354,1,2,Does not support,False,B,B,True
p09,3,10,1354,2,4,Supports,True,B,B,True
p09,3,10,1354,3,8,Does not support,False,B,B,True
p09,3,11,720,1,1,Does not support,False,A,A,True
p09,3,11,720,2,3,Does not support,False,A,A,True
p09,3,11,720,3,6,Does not support,False,A,A,True
p09,3,12,498,1,3,Does not support,False,B,C,False
p09,3,13,4631,1,3,Does not support,False,A,A,True
p09,3,14,6684,1,3,Supports,True,A,A,True
p09,3,14,6684,2,1,Supports,True,A,A,True
p09,3,15,1392,1,3,Does not support,False,A,A,True
p09,3,15,1392,2,1,Does not support,False,A,A,True
p09,3,16,2973,1,1,Supports,True,A,A,True
p09,3,16,2973,2,4,Supports,True,A,A,True
p09,3,16,2973,3,7,Does not support,False,A,A,True
p09,3,16,2973,4,9,Supports,True,A,A,True
p07,3,1,9554,1,1,Supports,True,B,B,True
p07,3,1,9554,2,3,Supports,True,B,B,True
p07,3,2,831,1,5,Supports,True,B,B,True
p07,3,2,831,2,8,Supports,True,B,B,True
p07,3,3,203,1,4,Does not support,False,C,C,True
p07,3,4,845,1,4,Supports,True,C,C,True
p07,3,4,845,2,9,Supports,True,C,C,True
p07,3,5,1015,1,2,Supports,True,A,A,True
p07,3,5,1015,2,6,Does not support,False,A,A,True
p07,3,5,1015,3,7,Supports,True,A,A,True
p07,3,6,2897,1,1,Supports,True,B,B,True
p07,3,6,2897,2,2,Supports,True,B,B,True
p07,3,7,1499,1,4,Supports,True,A,A,True
p07,3,8,400,1,3,Does not support,False,A,D,False
p07,3,9,6176,1,4,Supports,True,A,A,True
p07,3,9,6176,2,9,Does not support,False,A,A,True
p07,3,9,6176,3,10,Supports,True,A,A,True
p07,3,10,1354,1,2,Does not support,False,B,B,True
p07,3,10,1354,2,4,Supports,True,B,B,True
p07,3,10,1354,3,8,Does not support,False,B,B,True
p07,3,11,720,1,1,Does not support,False,A,A,True
p07,3,11,720,2,3,Does not support,False,A,A,True
p07,3,11,720,3,6,Does not support,False,A,A,True
p07,3,12,498,1,3,Does not support,False,B,C,False
p07,3,13,4631,1,3,Does not support,False,A,A,True
p07,3,14,6684,1,3,Supports,True,A,A,True
p07,3,14,6684,2,1,Supports,True,A,A,True
p07,3,15,1392,1,3,Supports,True,A,A,True
p07,3,15,1392,2,1,Does not support,False,A,A,True
p07,3,16,2973,1,1,Supports,True,A,A,True
p07,3,16,2973,2,4,Does not support,False,A,A,True
p07,3,16,2973,3,7,Supports,True,A,A,True
p07,3,16,2973,4,9,Supports,True,A,A,True
p08,3,1,9554,1,1,Supports,True,B,B,True
p08,3,1,9554,2,3,Supports,True,B,B,True
p08,3,2,831,1,5,Supports,True,B,B,True
p08,3,2,831,2,8,Supports,True,B,B,True
p08,3,3,203,1,4,Does not support,False,C,C,True
p08,3,4,845,1,4,Supports,True,C,C,True
p08,3,4,845,2,9,Supports,True,C,C,True
p08,3,5,1015,1,2,Supports,True,A,A,True
p08,3,5,1015,2,6,Supports,True,A,A,True
p08,3,5,1015,3,7,Supports,True,A,A,True
p08,3,6,2897,1,1,Supports,True,B,B,True
p08,3,6,2897,2,2,Supports,True,B,B,True
p08,3,7,1499,1,4,Supports,True,A,A,True
p08,3,8,400,1,3,Does not support,False,A,D,False
p08,3,9,6176,1,4,Supports,True,A,A,True
p08,3,9,6176,2,9,Supports,True,A,A,True
p08,3,9,6176,3,10,Supports,True,A,A,True
p08,3,10,1354,1,2,Does not support,False,B,B,True
p08,3,10,1354,2,4,Does not support,False,B,B,True
p08,3,10,1354,3,8,Does not support,False,B,B,True
p08,3,11,720,1,1,Does not support,False,A,A,True
p08,3,11,720,2,3,Does not support,False,A,A,True
p08,3,11,720,3,6,Does not support,False,A,A,True
p08,3,12,498,1,3,Does not support,False,B,C,False
p08,3,13,4631,1,3,Does not support,False,A,A,True
p08,3,14,6684,1,3,Supports,True,A,A,True
p08,3,14,6684,2,1,Supports,True,A,A,True
p08,3,15,1392,1,3,Supports,True,A,A,True
p08,3,15,1392,2,1,Supports,True,A,A,True
p08,3,16,2973,1,1,Supports,True,A,A,True
p08,3,16,2973,2,4,Supports,True,A,A,True
p08,3,16,2973,3,7,Supports,True,A,A,True
p08,3,16,2973,4,9,Supports,True,A,A,True
p11,4,1,9147,1,1,Supports,True,B,B,True
p11,4,2,8693,1,4,Supports,True,C,C,True
p11,4,3,799,1,5,Supports,True,A,A,True
p11,4,4,682,1,1,Does not support,False,G,D,False
p11,4,5,709,1,3,Supports,True,F,F,True
p11,4,5,709,2,4,Supports,True,F,F,True
p11,4,5,709,3,6,Supports,True,F,F,True
p11,4,5,709,4,9,Supports,True,F,F,True
p11,4,6,4742,1,7,Supports,True,A,A,True
p11,4,6,4742,2,10,Supports,True,A,A,True
p11,4,7,610,1,5,Supports,True,A,A,True
p11,4,7,610,2,9,Supports,True,A,A,True
p11,4,7,610,3,4,Does not support,False,A,A,True
p11,4,8,1389,1,1,Supports,True,B,B,True
p11,4,8,1389,2,2,Supports,True,B,B,True
p11,4,8,1389,3,4,Supports,True,B,B,True
p11,4,8,1389,4,5,Supports,True,B,B,True
p11,4,9,9053,1,4,Supports,True,C,C,True
p11,4,10,242,1,1,Does not support,False,C,C,True
p11,4,10,242,2,9,Supports,True,C,C,True
p11,4,11,2562,1,1,Supports,True,C,C,True
p11,4,11,2562,2,10,Supports,True,C,C,True
p11,4,12,7290,1,1,Supports,True,B,B,True
p11,4,12,7290,2,5,Does not support,False,B,B,True
p11,4,13,1028,1,5,Supports,True,D,D,True
p11,4,13,1028,2,9,Supports,True,D,D,True
p11,4,14,4403,1,1,Supports,True,B,B,True
p11,4,14,4403,2,2,Supports,True,B,B,True
p11,4,14,4403,3,5,Supports,True,B,B,True
p11,4,15,199,1,1,Supports,True,B,B,True
p11,4,15,199,2,5,Supports,True,B,B,True
p11,4,15,199,3,9,Supports,True,B,B,True
p11,4,16,528,1,6,Supports,True,B,A,False
p12,4,1,9147,1,1,Supports,True,B,B,True
p12,4,2,8693,1,4,Does not support,False,C,C,True
p12,4,3,799,1,5,Does not support,False,A,A,True
p12,4,4,682,1,1,Does not support,False,G,D,False
p12,4,5,709,1,3,Supports,True,F,F,True
p12,4,5,709,2,4,Does not support,False,F,F,True
p12,4,5,709,3,6,Does not support,False,F,F,True
p12,4,5,709,4,9,Supports,True,F,F,True
p12,4,6,4742,1,7,Supports,True,A,A,True
p12,4,6,4742,2,10,Supports,True,A,A,True
p12,4,7,610,1,5,Does not support,False,A,A,True
p12,4,7,610,2,9,Supports,True,A,A,True
p12,4,7,610,3,4,Does not support,False,A,A,True
p12,4,8,1389,1,1,Does not support,False,B,B,True
p12,4,8,1389,2,2,Supports,True,B,B,True
p12,4,8,1389,3,4,Supports,True,B,B,True
p12,4,8,1389,4,5,Does not support,False,B,B,True
p12,4,9,9053,1,4,Supports,True,C,C,True
p12,4,10,242,1,1,Does not support,False,C,C,True
p12,4,10,242,2,9,Does not support,False,C,C,True
p12,4,11,2562,1,1,Supports,True,C,C,True
p12,4,11,2562,2,10,Supports,True,C,C,True
p12,4,12,7290,1,1,Supports,True,B,B,True
p12,4,12,7290,2,5,Supports,True,B,B,True
p12,4,13,1028,1,5,Supports,True,D,D,True
p12,4,13,1028,2,9,Does not support,False,D,D,True
p12,4,14,4403,1,1,Does not support,False,B,B,True
p12,4,14,4403,2,2,Does not support,False,B,B,True
p12,4,14,4403,3,5,Does not support,False,B,B,True
p12,4,15,199,1,1,Supports,True,B,B,True
p12,4,15,199,2,5,Supports,True,B,B,True
p12,4,15,199,3,9,Supports,True,B,B,True
p12,4,16,528,1,6,Does not support,False,B,A,False
p14,5,1,458,1,3,Supports,True,D,D,True
p14,5,1,458,2,5,Does not support,False,D,D,True
p14,5,2,785,1,2,Supports,True,D,E,False
p14,5,3,798,1,6,Supports,True,A,A,True
p14,5,3,798,2,1,Does not support,False,A,A,True
p14,5,4,6918,1,1,Supports,True,A,A,True
p14,5,4,6918,2,2,Supports,True,A,A,True
p14,5,4,6918,3,8,Does not support,False,A,A,True
p14,5,5,842,1,1,Does not support,False,B,B,True
p14,5,5,842,2,4,Does not support,False,B,B,True
p14,5,6,2592,1,5,Does not support,False,A,A,True
p14,5,7,2373,1,3,Supports,True,B,B,True
p14,5,7,2373,2,6,Supports,True,B,B,True
p14,5,7,2373,3,2,Supports,True,B,B,True
p14,5,8,4341,1,1,Supports,True,B,B,True
p14,5,8,4341,2,2,Supports,True,B,B,True
p14,5,8,4341,3,6,Supports,True,B,B,True
p14,5,9,407,1,3,Does not support,False,C,B,False
p14,5,9,407,2,7,Does not support,False,C,B,False
p14,5,9,407,3,9,Does not support,False,C,B,False
p14,5,10,320,1,6,Supports,True,D,D,True
p14,5,11,189,1,1,Does not support,False,A,A,True
p14,5,11,189,2,2,Does not support,False,A,A,True
p14,5,11,189,3,8,Does not support,False,A,A,True
p14,5,12,558,1,5,Supports,True,D,D,True
p14,5,12,558,2,6,Supports,True,D,D,True
p14,5,12,558,3,7,Supports,True,D,D,True
p14,5,13,5633,1,1,Supports,True,D,D,True
p14,5,13,5633,2,2,Supports,True,D,D,True
p14,5,13,5633,3,6,Supports,True,D,D,True
p14,5,14,241,1,1,Does not support,False,A,A,True
p14,5,14,241,2,5,Supports,True,A,A,True
p14,5,14,241,3,6,Does not support,False,A,A,True
p14,5,15,6596,1,2,Supports,True,C,C,True
p14,5,15,6596,2,7,Supports,True,C,C,True
p14,5,15,6596,3,9,Supports,True,C,C,True
p14,5,16,1033,1,4,Supports,True,C,C,True
p14,5,16,1033,2,1,Supports,True,C,C,True
p14,5,16,1033,3,3,Does not support,False,C,C,True
p15,5,1,458,1,3,Supports,True,D,D,True
p15,5,1,458,2,5,Does not support,False,D,D,True
p15,5,2,785,1,2,Supports,True,D,E,False
p15,5,3,798,1,6,Supports,True,A,A,True
p15,5,3,798,2,1,Does not support,False,A,A,True
p15,5,4,6918,1,1,Does not support,False,A,A,True
p15,5,4,6918,2,2,Does not support,False,A,A,True
p15,5,4,6918,3,8,Does not support,False,A,A,True
p15,5,5,842,1,1,Supports,True,B,B,True
p15,5,5,842,2,4,Does not support,False,B,B,True
p15,5,6,2592,1,5,Does not support,False,A,A,True
p15,5,7,2373,1,3,Supports,True,B,B,True
p15,5,7,2373,2,6,Supports,True,B,B,True
p15,5,7,2373,3,2,Supports,True,B,B,True
p15,5,8,4341,1,1,Supports,True,B,B,True
p15,5,8,4341,2,2,Supports,True,B,B,True
p15,5,8,4341,3,6,Supports,True,B,B,True
p15,5,9,407,1,3,Does not support,False,C,B,False
p15,5,9,407,2,7,Supports,True,C,B,False
p15,5,9,407,3,9,Does not support,False,C,B,False
p15,5,10,320,1,6,Supports,True,D,D,True
p15,5,11,189,1,1,Does not support,False,A,A,True
p15,5,11,189,2,2,Supports,True,A,A,True
p15,5,11,189,3,8,Does not support,False,A,A,True
p15,5,12,558,1,5,Supports,True,D,D,True
p15,5,12,558,2,6,Supports,True,D,D,True
p15,5,12,558,3,7,Does not support,False,D,D,True
p15,5,13,5633,1,1,Does not support,False,D,D,True
p15,5,13,5633,2,2,Supports,True,D,D,True
p15,5,13,5633,3,6,Supports,True,D,D,True
p15,5,14,241,1,1,Supports,True,A,A,True
p15,5,14,241,2,5,Supports,True,A,A,True
p15,5,14,241,3,6,Supports,True,A,A,True
p15,5,15,6596,1,2,Supports,True,C,C,True
p15,5,15,6596,2,7,Supports,True,C,C,True
p15,5,15,6596,3,9,Does not support,False,C,C,True
p15,5,16,1033,1,4,Supports,True,C,C,True
p15,5,16,1033,2,1,Does not support,False,C,C,True
p15,5,16,1033,3,3,Does not support,False,C,C,True
p13,5,1,458,1,3,Supports,True,D,D,True
p13,5,1,458,2,5,Does not support,False,D,D,True
p13,5,2,785,1,2,Supports,True,D,E,False
p13,5,3,798,1,6,Supports,True,A,A,True
p13,5,3,798,2,1,Does not support,False,A,A,True
p13,5,4,6918,1,1,Does not support,False,A,A,True
p13,5,4,6918,2,2,Does not support,False,A,A,True
p13,5,4,6918,3,8,Does not support,False,A,A,True
p13,5,5,842,1,1,Does not support,False,B,B,True
p13,5,5,842,2,4,Supports,True,B,B,True
p13,5,6,2592,1,5,Does not support,False,A,A,True
p13,5,7,2373,1,3,Supports,True,B,B,True
p13,5,7,2373,2,6,Supports,True,B,B,True
p13,5,7,2373,3,2,Supports,True,B,B,True
p13,5,8,4341,1,1,Supports,True,B,B,True
p13,5,8,4341,2,2,Supports,True,B,B,True
p13,5,8,4341,3,6,Supports,True,B,B,True
p13,5,9,407,1,3,Does not support,False,C,B,False
p13,5,9,407,2,7,Does not support,False,C,B,False
p13,5,9,407,3,9,Does not support,False,C,B,False
p13,5,10,320,1,6,Does not support,False,D,D,True
p13,5,11,189,1,1,Does not support,False,A,A,True
p13,5,11,189,2,2,Does not support,False,A,A,True
p13,5,11,189,3,8,Does not support,False,A,A,True
p13,5,12,558,1,5,Supports,True,D,D,True
p13,5,12,558,2,6,Supports,True,D,D,True
p13,5,12,558,3,7,Does not support,False,D,D,True
p13,5,13,5633,1,1,Supports,True,D,D,True
p13,5,13,5633,2,2,Supports,True,D,D,True
p13,5,13,5633,3,6,Supports,True,D,D,True
p13,5,14,241,1,1,Does not support,False,A,A,True
p13,5,14,241,2,5,Does not support,False,A,A,True
p13,5,14,241,3,6,Does not support,False,A,A,True
p13,5,15,6596,1,2,Supports,True,C,C,True
p13,5,15,6596,2,7,Does not support,False,C,C,True
p13,5,15,6596,3,9,Does not support,False,C,C,True
p13,5,16,1033,1,4,Supports,True,C,C,True
p13,5,16,1033,2,1,Does not support,False,C,C,True
p13,5,16,1033,3,3,Does not support,False,C,C,True
p16,6,1,8526,1,1,Supports,True,B,B,True
p16,6,1,8526,2,5,Does not support,False,B,B,True
p16,6,1,8526,3,6,Does not support,False,B,B,True
p16,6,1,8526,4,7,Supports,True,B,B,True
p16,6,2,234,1,3,Supports,True,D,D,True
p16,6,3,646,1,4,Supports,True,E,E,True
p16,6,3,646,2,5,Supports,True,E,E,True
p16,6,4,575,1,1,Does not support,False,A,A,True
p16,6,4,575,2,2,Does not support,False,A,A,True
p16,6,4,575,3,6,Supports,True,A,A,True
p16,6,5,341,1,4,Does not support,False,C,C,True
p16,6,5,341,2,7,Does not support,False,C,C,True
p16,6,5,341,3,2,Does not support,False,C,C,True
p16,6,6,5160,1,1,Does not support,False,A,A,True
p16,6,6,5160,2,5,Supports,True,A,A,True
p16,6,6,5160,3,10,Supports,True,A,A,True
p16,6,7,427,1,1,Supports,True,C,C,True
p16,6,7,427,2,8,Supports,True,C,C,True
p16,6,8,629,1,5,Supports,True,D,D,True
p16,6,8,629,2,2,Supports,True,D,D,True
p16,6,8,629,3,8,Does not support,False,D,D,True
p16,6,9,734,1,7,Does not support,False,D,B,False
p16,6,9,734,2,3,Does not support,False,D,B,False
p16,6,9,734,3,9,Does not support,False,D,B,False
p16,6,10,1397,1,6,Does not support,False,B,A,False
p16,6,11,3982,1,1,Does not support,False,A,A,True
p16,6,11,3982,2,4,Does not support,False,A,A,True
